No	cc_id	citation_id	USE	EXTEND	MENTION	NOTALGO	CitationContext
84	30606660	29910515	0	2	2	0	"twork (ANN), Radial Basis Function (RBF), and Gaussian Process (GP) (also referred to as Kriging or Design and Analysis of Computer Experiments (DACE) models) are the most prominent and commonly used =-=[5]-=-[6][7]. In [5], Ratle proposed a strategy for integrating GA with Kriging metamodel and uses a heuristic convergence criterion to decide when the model should be updated. The work was extended by El-B"
							
							
							
							
85	41509079	43070166	0	2	0	2	"fg Mabcdefg from ? abcdefg Macegbdf and ? abcdefgh Mabcdefgh from ? abcdefgh Madgbehcf). The construction given in this paper is almost certainly not as general as it could be. For example, Dijkgraaf =-=[4]-=- mentions the following state model on triangulations which was described to me by Vaughan Jones: As before, we choose a finite group G to be the state set, we assign states to the oriented edges of a"
							
							
							
							
86	9950844	9399852	0	0	3	0	"algorithm as long as inconsistencies are within a prespecified limit. Another approach is to use application semantics and data similarities to obtain higher levels of concurrency among transactions =-=[116, 118]-=-. Imprecise data values and partial computations are utilized for the same purpose in [130]. 6.3 Stored Data Manager Many storage structures have been proposed, including reverse chaining (all history"
							
							
							
87	65111834	66346161	1	2	0	0	"ction, feature design, correlation analysis and semi-supervised learning. Several methods exists 2 This holds broadly, for both supervised and unsupervised methods. for discriminative pose prediction =-=[15, 19, 20, 21, 3, 18]-=- but they primarily concentrate on its multi-valuedness [15, 19, 18], or on single levels of feature encodings [19, 20, 21], based on global histograms or regular grids of SIFT blocks. Here we also st"
							
							
							
88	31645891	30957789	0	0	0	3	"er in the fourth position: 3 HN 4 1 O 2 O O N Bn 1 Scheme 1 R 1 M M= Li 1+ ,Mg 2+ O N Bn Oxazolidinones have attracted great attention in organic synthesis [8], in the preparation of natural products =-=[9]-=-, antibiotics [7], antibacterials [10] and antimicobacterials [11]. In the literature there are reports about the synthesis of these compounds from amino acids and amino alcohols [12], in addition to "
							
							
							
89	8966053	8516272	1	0	0	0	given as a logical formula or as a machine: [Clarke and Emerson 1981; Clarke et al. 1986; Browne et al. 1986] and CAESAR [=-=Queille and Sifakis 1982-=-; Fernandez et al. 1996]. SMV [McMillan 1993] is the first model checker to use BDDs. The Spin system [Gerth et al. 1995; Holzmann 1991] uses partial order reduction to reduce the state explosion prob
							
90	151377049	170142173	0	0	0	3	"f the central nervous system (CNS, Table S1). AT has been shown to exhibit a neuroprotective action and attenuates learning and memory deficits [7]. PRP has been reported to possess sedative activity =-=[8]-=-. RP shows repairing effects on the memory and behavioral deficits in rats [9], exhibits neuroprotective effects [10,11], enhances cognition and memory in elderly adults [12,13]. This study was to ass"
							
							
							
91	49431047	49613752	0	1	2	0	"is categorized as shown in Figure 2: detection, competition, and evasion. Detection using both PDR (Packet Delivery Ratio) and RSSI (Receive Strength Signal Indicator) on sensor networks is proposed =-=[16]-=-, but the detection mechanism requiresSensors 2010 3630 the following countermeasures until the jammer can be perfectly be eliminated. Competition approaches can be utilized with the control of trans"
							
							
							
92	31907541	31247310	0	3	0	0	"the ISP may ask more detailed queries about a particular host or link that appears to be malfunctioning. Previous work on sliding window query processing [3, 8, 14, 17, 19] and stream query languages =-=[1, 2, 6]-=- assumes that windows slide periodically by replacing the oldest part of the window with a batch of fresh data. A periodically-sliding window can be modeled as a circular array of sub-windows, with ea"
							
							
							
93	91784912	97183254	0	0	1	2	"rs and that this approach had no precedent and no satisfactory explanation from theories of software engineering. Second, open source software runs counter to many established theories of innovation (=-=Schoonhoven, 2003-=-). von Krogh and von Hippel (2003) noted that conventional theory incentives to innovate relate to the regime of intellectual property rights that offer innovators the possibility of appropriating ret"
							
							
							
94	32742870	32340097	0	0	3	0	"ater when we turn to concurrency. In sum, precision plays a greater role here than in previous work, where it arose as a technical reaction to soundness problems in proof rules for information hiding =-=[24, 12, 22]-=-. 3 Local Actions 3.1 Conceptual Development In [37] a soundness proof was given for separation logic in terms of an operations semantics for the RAM (heaps) model. The development there revolved arou"
							
							
							
95	49898085	50025409	1	0	0	2	"sera. The determination of the amount of antibody present in selected sera was done by the ninhydrin method described by Kunkel and Ward for estimation of the quantity of antigenantibody precipitate =-=(8)-=-. This procedure, based on the ninhydrin method of Moore and Stein (9), employs small amounts of antiserum and has been shown to be a sensitive and reproducible method. Aquaphor is an ointment base ma"
							
							
							
96	139445673	158857560	0	0	2	1	"revent alteration of exchanged messages and data that can be avoided by protection of communication networks and by encryption of exchanged messages. According the models dealing with behaviour trust =-=[10, 9, 3]-=- the behaviour of entity can be described with the following attributes (as depicted in Fig.4): Accessibility describes the capability of resource entity to respond to user"
							
							
							
97	115983013	129593417	0	0	2	1	"fects between microbes. Research on the mechanisms by which PGPR enhance nodule formation implicates their production of plant hormones among the co-inoculation benefits. For example, Chebotar et al. =-=(2001)-=- demonstrated that some Pseudomonas strains, but not all, increased nodule number and acetylene reduction in soybean plants inoculated with B. japonicum. The use of gus-A marked rhizobacteria allowed "
